country,sight,review_title,review_content
이탈리아,성 베드로 대성당,성베드로대성당 무료 음식물도 반입가능,생각보다 춥진 않았어여 12월 초였으니 사람도 많이 없구여. 다음엔 10월에 도전해보고 싶어여 성당내부만 봐도 2시간은 걸릴꺼같아여. 저희엄마모시고 갔는데 너무 좋아하셨어여 저희는 성당내부와 광장만 갔는데 엄마가 72세다 보니 그것도 힘들어하셔서....더는 못갔습니다.
이탈리아,성 베드로 대성당,장엄하고 또 장엄한,유럽을 여행하시면 수많은 크고 작은 성당을 반복해서 보게되지만 바티칸시국의 베드로성당은 의미가 다른거같아요 스쳐지나가지시말고 역사와 미술사와 함께 곱씹어보시기를
이탈리아,성 베드로 대성당,여행의 목적,성베드로 성당의 피에타를 보기위해 유럽에 왔습니다. 런던에서 시작해서 오는 동안 정말 많은 일이 있었는데 피에타 보면서 싹 다 잊혀질만큼 좋았어요. 주일 10:30 미사보고 12시에 교황님 손 흔들어주시는것도 좋았습니다.
이탈리아,성 베드로 대성당,바티칸에서 갈때는,시스티나성당에서 나오지 마시고 오른쪽문을이용하세요 그걸 몰라서 한바퀴.더 돌았네요 바로 연결된.통로가 있답니다 ㅠ
이탈리아,성 베드로 대성당,"미켈란젤로, 라파엘로 작품도 꼭 보고 오세요",저는 지난 번에 갔을 때는 피에타만 열심히 보고 기억에 남았는데요~ 라파에로 작품을 꼭 감상하고 오세요. 성 베드로 대성당 견학 중 갑자기 경비가 삼엄해져서 궁금해서 기다렸는데 미사드리러 가는 추기경 같았어요. 그런 모습도 기대하지 않았는데 보게되는 즐거운 장면이었답니다.
이탈리아,성 베드로 대성당,힘든 이벤트,"교회로가는 길에 여행 가이드, 물품 판매 인, 거지의 건틀릿을 운영하는 것은 끔찍한 시련이었습니다. 그들은 끈적하고 무례하고 나는 정말 모든 것에 위협을 느꼈습니다. 보안 점검을 통과하면 대성당을 무료로 이용할 수 있습니다. 교회는 금과 대리석으로 방대하여 인상적입니다."
이탈리아,성 베드로 대성당,불행한 여행,"슬프게도 우리는 을 하지 않았다. 나는 사람들에게 정말 희망 이 기 전에 남자 친구와 함께 한 제가 읽기 를 모두 받아, 다른 부부들이 함께 있다는 사실, 가톨릭! 당신의 어깨 를 한 가지 위에 해당하는 옷이나 의 스커트 가 가장 짧은 무릎! 한 남자와 여자 와 수백 명의 사람들이 적용하고 아. 건물이 화려한 외관! 건물 및 건축 적다. 광장 에는 분수 모뉴먼트는 의 중심부에 있고. 우리가 갔을 때에는 매우 뜨거운 하지 않지만 외부에 있는 어떤 광장에 있는 그늘에서 제공할 수"
이탈리아,성 베드로 대성당,더 아름다운 곳 이지만 필요한,"놀라운 아름답게 장식 되어 있는 건물. 하지만 우리는 철저하게 즐길 수 있는 것이 많지 돔. 하지만, 그는 고소공포증이 아니라 하나의 돔이 있는 작은 공간이 통로 또는 작은 편. 만약 그 가 엘리베이터로 올라가서 작은 단면 돔. 여전히 걷는 것을 여러 단계를 을 맨. 위 사진에서 볼 수 있는 돔 단계를 수행하십시오."
이탈리아,성 베드로 대성당,설명 해 주는,"평균 점수를 주는 대성당에 자신이 없었다. 저는 광장. 줄을 한 위치에 있다. 900 이상이 있기 때문에 준비 된 줄을 대기, 대기 가 전체 광장에 있다. 저는 많은 사람들이 원하는 것을 놀리기 에, 이 모든 걸 수 있는 일인."
이탈리아,성 베드로 대성당,지 ' 공식 가이드 ' 에서,"이 크고 인상적인, 하지만 아이들이 2 3 일 후 로마 로 가지 않았다 하는 안이 조금 실증 날수 있는. 에 들어가는 입구가 수십 ' 공식 가이드 ' 하는 사람들에게 필요한 이야기 들을 티켓에 도보; 를 하지 않습니다. 이것을 조심하세요."
이탈리아,성 베드로 대성당,관광명소,"너무 많은 사람들과 정말 골치. 호텔 건물은 아름답고, 밖에서 나는 정말 생각 보다 흥미롭고 인상적인 내부에서, 시간 및 시간을 새겨 볼 가치가 있지만 많지 않나."
이탈리아,성 베드로 대성당,있기 때문에.,"어떻게 속도 신성한 사이트의 세계? 저는 제 경험 만 수 있습니다. 교회에 갈 때는 로마 가톨릭 또는 peter 경우. 할 때는. 이 교회의 바위 였다 카톨릭교 이 었겠죠. 말도 안되는 줄입니다 나타납니다. 나는 사람들에게 있어서 죄송합니다 우워 아닙니다 사용할 수 있는 온라인으로 예약하고 디지털 을 이해하지 못할 줄을. 이 호텔을 예약 했다 몇 분 안에 대 도시의 바티칸 박물관. 온라인으로 예약을 하십시오, 모든 페이지에 모든 티켓을 모든 조건을 읽을 수 있습니다. 이전에 투어 할 수"
이탈리아,성 베드로 대성당,사랑스러운 장소를,"온라인 투어 여행사가 통과 될 것. 운이 좋게도 우리는 이 날을 선택하세요 다음 날 있는 닫혀 있었어요. 많이 보고 아름다운 오래된 교회. 우리는 또한 추가 요금을 엘리베이터로 큐폴라, 이 할 수 있었습니다, 전망은 환상적이었습니다. 유일한 단점은 제가 안고 가 안전하고 뷰 내부를 망치고 있지만 전체적으로 조금은 할 수 없다. 잘 갖춰져 있는 선물 가게 nuns 하고 있었고."
이탈리아,성 베드로 대성당,필요한 안내서,가이드를 해야 지원하지만 큰 매력 이다. 우리는 나쁜 경험이었고 구입한 옴니 아카드 - 가치가 없음 직원들은 영어를 잘 하고 수집할 수 있는 카드가 무딘 여자는 수 및 지식 적이지 은 - 무례한 것이 정말 해야 하는 일 우리는 광장에 f.a.s.t. 를 만날 수 있는 큐 0900 - - 아무도 없 우리는 오디오가 피터 에게 무료로 제공된다 - 따라서 우리는 이 아니라 진정한 오디오 가져오는 데 실패 노란색 버스 정류장들이 일반 및 특정 시점에서 - 저희는 버스 찾기 힘든 곳 - 모든 오디오
이탈리아,성 베드로 대성당,정말 멋진,이 인상적인 곳이었습니다. 내부도 불합리 하게 긴 줄을. 그러나 아키텍처 및 세부적인 것도 좋았고
이탈리아,성 베드로 대성당,아름다운 곳이지만 분위기는 서커스,이 아름다운 건물과 아름다운 미술 작품. 그냥 주위를 배회 했는데 상당히 붐비는 사람들. 조용하고 고요한 분위기는 존중하지 않나.
이탈리아,성 베드로 대성당,좋은 곳에 가서 무료로,우리는 돈을 추가하지 않은 모든 여행을 같이 한다 한 타워는 빌딩. 건축은 모든 예술 및 대리석으로 장식된 놀라운 장소와 환상적인 모양. 무료이기 때문에 반드시 해야 한다는 것이 이 가능하지만 큰 돈을 지불할 수 있는 시간이 필요한 곳에 가서. 에서도 이 아주 인상적인 것은 로마에서 everythign outisde 구축할 수 있습니다.
이탈리아,성 베드로 대성당,실망스러운,이는 매우 실망스러웠어요. 어둡고 내부에 제한된 액세스. 이 끔찍한 큐 denpassar.
이탈리아,성 베드로 대성당,볼만한 가치 - 하지만 조심하세요!,"피터 가 지난 수요일 에 참석하는 교황 의 대상 및 방문 즐겼다, 그러나. 내 가방 은 내가 내 병을 검색 및 면세점 향수 와 경찰, 그 때에 유리하게 허용하지 않습니다. 저에게 도난이 수 도, 및 놀라운 놀라움 였습니다. 이 때 성가신 것이 경찰의 안전 이라고 생각한다. 여성들이 충고 하기 때문에 호텔 방 도난 또는 병의 향수 할 수 있습니다."
이탈리아,성 베드로 대성당,실망스러운,"같은 이탈리아에서 많은 곳, 이동성 및 소매치기 사는 사람들이 많은 곳에는 번거롭게 품. 그래서인지 많은 후기를 쓴 실망 예상보다는"
이탈리아,성 베드로 대성당,하지 않는다면 4 시간 대기 …,"이 놀라운 교회 이지만 모뉴먼트는. 하지만 더 이상 요금이 7 교회 방문 의 오픈 - 7, 줄을 서서 보안 검사가 시작하기 전에 함께 할 수 있는 ar 15 라이플 부대 전체 누른 채 소화 합니다. 이 3 시간 이상 걸릴 수 있습니다. 전 아이폰 7대 같은 첫 선을 보였습니다. 오래된 일이 한 것과는 달리, 시간이 제한적인, 10 15분 정도에 따라 크기 및 시간 입니다. 좀 정말. 웨스턴에 반드시 반대 운동 은 전 세계 다. 이는 사라. 및 가상화와. 하고 있다."
