country,sight,review_title,review_content
체코,프라하 동물원,그냥저냥 동물원....,해외까지가서 동물원에 가는 것은 좀.... 차라리 동네를 더 구경하시는 것이 좋을 것 같아요 ㅠ
체코,프라하 동물원,실망한,"그래서이 동물원이 얼마나 좋은지, 그리고 세계에서 어떤 숫자인지 읽습니다. . . 대부분의 동물은 외출하지 않았습니다. 코끼리 안에 잠겨 기린 안에 잠겨 고릴라 안에 갇혀 사자가 안에 잠겨 당나귀 하마가 안에 잠겨 염소는 아마도 외부에서 볼 때 가장 좋은 것일 것입니다. 동물원에 대해 말하는 것이 가장 좋습니다. . . 북극곰은 고민하면서 계속 똑바로 앞뒤로 걷는 것을 보았습니다."
체코,프라하 동물원,방문하기에 매우 슬픈 곳,"모든 동물은 작은 울림 속에 있었고, 고통의 분명한 징후를 보이기 위해 간격을 두었습니다. 인클로저가 많이 비어있었습니다. 고릴라는 마치 약을 먹은 것처럼 보 였는데, 내가 동물원에서 본 적이있는 고릴라와는 달리 그들은 거의 움직이기 힘들었습니다. 북극곰은 가슴이 아 breaking습니다. 크기가 너무 작은 FAR 인 인클로저의 풀에서 반복적으로 간격을 두었습니다. 동물들은 마른 것처럼 보였고 전반적으로 매우 슬픈 경험이었습니다."
체코,프라하 동물원,충격적인 고객 서비스,"북극곰이 작은 인클로저에 있지만 오늘 동물원을 방문했을 때, 그것은 반복적으로 반복되는 움직임을 강조했습니다. 음식은 사랑스럽고 대부분의 직원은 친절했지만 동물원을 떠날 때 안내 데스크에있는 두 명의 여성에게 택시로 전화를 걸도록 요청했습니다. 그들은 심지어 전화를 사용하지 않았으며 체코에서 서로 이야기하는 것을 무례하게 보았습니다. 우리는 스스로 전화를 걸려 고 노력했다. 나는 결국 내 전화를 사용하여 택시에 전화 한 관리자를 요청했다. 수치스러운 고객 서비스! ! ! ! ! ! ,"
체코,프라하 동물원,긴급한 현대화 / 업그레이드 필요,"나는 동물원을 좋아한다. 그들은 멸종 위기에 처한 종의 보존에 좋습니다. 또한 북극곰 꿀 오소리 등과 같은 자연 서식지에서 결코 볼 수없는 동물을보고 싶습니다. 나는 프라하 동물원에 여전히 오래되고 작고 뾰족한 인클로저가 있다는 것을 알게되어 매우 실망했습니다. 북극곰 하나는 콘크리트와 수영장으로, 큰 고양이는 매우 작고 도전적인 환경이 없습니다. 우리가 보았던 건물 작품이 동물원이 필요로하는 업데이트 체계와 관련이 있기를 바랍니다. 더하기 측면에는 여기에 다양한 동물이 있습니다. 동물원 주변에"
체코,프라하 동물원,가장 슬픈 동물원,"3 살짜리와 함께 갔는데 지루했습니다. 대부분의 동물 인클로저는 비어 있었고 (코끼리 포함) 얼룩말과 사슴, 다른 작은 게임을 보았습니다. 지루했지만 인클로저 크기는 최악이었습니다. . . 동물에게는 너무 작습니다. 작은 환경에서 비참한 북극곰을 보았습니다. 동물들에게는 너무나 기분이 나빴습니다. 그것이 너무 슬퍼했던 것에 따라 우리는 약 1 시간 반 후에 떠났다. 매우 구릉이므로 버그가있는 것은 권장하지 않습니다."
체코,프라하 동물원,부끄러움,"잘 보살펴 진 아름다운 봉우리들이 보였고 일부 동물들이 보살핌을 볼 수있었습니다. 하나 북극곰은 행복하지 않았고, 나는 거기에 서서 30 분 동안 간격을두고 있었고, 인클로저는 혐오스럽고 불결했습니다. 물을 둘러싼 펭귄은 초록색입니다. 동물원에서 볼 수있는 펭귄은 대부분 볼 수 없습니다. 많은 외함이 너무 자라서 동물을 볼 수 없었고 전혀 잘 보관되지 않았기 때문에 동물에 대해 미안하다고 느꼈습니다. 동물들이 제대로 보살 피고 인클로저가 깨끗하고 어수선하지 않도록 더 많은 돈을 지불하고"
체코,프라하 동물원,잃어버린 내 시간과 내 돈 !!!!!!!!!!,"특별한 것은 없습니다. 정말 실망했다! 대부분의 동물들은 거기에 없었거나 멀리있었습니다. 동물보다 음식과 음료가 더 많이 생깁니다. 나는 결코이 ""동물원""으로 돌아 가지 않을거야. P. S. Free park는 """"동물원 """"보다 소리가 좋습니다."
체코,프라하 동물원,불쌍한 경험,"나는 동물원에 관해 좋은 의견을 내기 전에 글을 쓰고 있었는데, 마지막으로 실망했다. 케이블카가 닫히고, 직원이 친절하지 않았으며, 대부분의 음식점이 닫히고 레스토랑에서 식사를 한 후 나와 내 아이가 화장실 근처에서 밤새 보냈습니다."
체코,프라하 동물원,그레이트 동물원 끔찍한 식당,"나는 정말로 동물원을 구경하는 것을 정말로 좋아했다, 프라하에 머무르는 동안 정말로 즐거운 여행이었다. 나는 가족과 친구에게 이것을 추천했을 텐데 불행하게도 우리가 GASTON 레스토랑에서 가지고 있었던 경험은 날을 파멸시켰다. 음식은 그것이 무엇이었고 품질이 좋지 않았고 대부분의 사람들은 식사를 대부분 접시에 남기로했습니다. 가격도 매우 불분명했다. 카운터 뒤에서 일하는 금발 아가씨는 우리에게 음식을 과도하게 과다하게 부과하고 우리에게 돈을 돌려 주거나 사과를 거부했다. 그런 다음 그녀는 우리"
체코,프라하 동물원,실망한,"나는 정말로 ""세계에서 4 번째로 좋은 동물원""이 무엇인지 확인하려고 애썼지 만, 나는 믿을 수 없을 정도로 실망 스럽다고 말했어야만합니다. 지도와 푯말은 정확하지 않은 것처럼 보였습니다. 동물의 약 절반 만 볼 수있었습니다 (이 점에 충격을받지는 않았지만 뜨거웠지만 여전히 낙담했습니다). 외출 된 동물들 중 일부는 열에서 절대적으로 비참하게 보였습니다 - 특히 핀란드의 순록. 그리고 전반적인 경험에 관한 한, 내가 간 적이있는 다른 많은 동물원보다 더 좋았습니다. 거리와 시간의 가치가 없습니다."
체코,프라하 동물원,Subpar 인클로저 및 동물에 대한 열악한 관심,"나는 프라하 동물원을 온라인에서 읽은 후에 가서보고 싶어 매우 흥분했습니다. 나는 매우 실망했지만 거기에 도착했을 때. 출발을 위해 우리는 동물원 주위에 자신의 길을 찾아야했기 때문에 맹목적으로 따라야 할지도를 제공받지 못했습니다. 어떤 종류의 이동성 문제가있는 경우 언덕이 우스 꽝스러운 것처럼 아마 당신을위한 곳이 아닙니다! 동물원 동물원 지역의 동물들은 폭동에 휘말리고 있었고, 털이 너무 많아서 제대로 보살핌을 받고있는 것처럼 보이지 않았습니다. 나의 진짜 문제는 코끼리 둘러 쌈과 함께"
체코,프라하 동물원,비참한,"나는 프라하 동물원을 5 번째 또는 7 번째로 평가 한 Trip Advisor 및 기타 온라인 출처에 대한 리뷰를 읽었습니다. 내가 오늘 보았던 것에 근거하여, 이것이 더미의 꼭대기 근처에 있다면, 거기에 정말로 충격적인 몇 개의 동물원이 있어야합니다. 내 딸 (7 세)이 갔을 때 동물원은 개조 / 개선을 통해 몇 가지 매력이 사라진 것을 의미했습니다. 우리가 도착했던 것에 따라 명소 중의 1 개에 거대한 거미를 광고하고있는 계산서 게시판이 있었다 - 나의 딸은 그것을 정말로보고 싶었다. 그러나"
체코,프라하 동물원,동물 애호가라면 방문 할 동물원이 아닙니다!,"내 여자 친구와 나는 동물을 너무나 사랑합니다. 그래서 우리가 프라하로 1 주일 간 휴가를 갔을 때, 프라하 동물원은 우리의 우선 순위 목록에서 높았습니다. 그러나 동물원에있는 많은 울타리들이 너무 작아서 스트레스의 흔적을 보이는 많은 동물들 (북극곰, 코끼리)이 있음이 분명해졌습니다. 이것은 좌우로 흔들리는 것을 멈추지 않는 떼에서 분리 된 외피와 코끼리의 간격을 포함합니다 (잘 알려져 있고 매우 심각한 조짐의 신호). 동물 애호가라면 방문 할 동물원이 아닙니다! ! !"
체코,프라하 동물원,시간과 돈을 낭비하지 마라.,오늘 우리가 동물원을 방문한 시간이나 돈을 낭비하지 마십시오. 동물 중 누구도 찾아 볼 수 없었습니다. 대부분의 관광 명소는 폐쇄되어 있었고 예상보다 훨씬 작았습니다. 프라하에는 다른 많은 명소가있어 동물원에 가지 않아도됩니다.
