country,sight,review_title,review_content
영국, 런던 타워,영국 역사의 현장,"영국 역사에서 많은 정치범들을 수용했던 감옥으로 사용되었던 요새인데, 지금은 영국 여왕의 왕관을 비롯한 왕실 보물을 소장하고 전시하고 있습니다. 사전에 인터넷으로 예매를 하면 조금 싸기는 하지만 입장료는 상당히 비싼 편입니다. 가이드 투어를 하든가 안내지도를 보며 오디오 가이드를 들으면 좋습니다."
영국, 런던 타워,더 공부를 미리 하고 갈걸..,오디오가 일반적인 소개와 일부 장소에 대한 개별 소개가 뒤섞여서 다 듣지 못해서 무슨 역사적 사실이 있는지 건너 뛰어가면서 관람하였다.현지 가이드는 영어 단체 관광객에게만 있어서 아쉬웠다.
영국, 런던 타워,생각보다 내부 볼거리가 많아요,별로 기대를 안하고 이곳에 숨겨진 어두운 이야기만 듣고 가서 감옥같은 느낌일 줄 알았는데 내부는 마치 작은 마을같은 느낌이고 타워마다 볼거리가 많아서 괜찮았어요. 입장료가 좀 비싸지만 한번쯤은 경험삼아 가볼만 합니다.
영국, 런던 타워,혼여,"런던 타워에 보면 광장같이 생긴 곳 있어요 계단도 있는데 사람들 많이 앉아있는 곳, 거기 앉아서 런던타워랑 런던 경치 구경해보세요 너무 좋아요"
영국, 런던 타워,여왕의 왕관~,"여왕의 왕관을 구경할 수 있습니다. 단, 걷지못하고 무빙워크를 따라서 휙~ 구경하고 올 수 밖에 없지만 실제 여왕의 왕관 볼 수 있어서 의미있습니다. 각 건물을 박물관처럼 꾸며 놓아서 중세 기사의상, 무기들, 감옥등등 구경거리가 많습니다."
영국, 런던 타워,좋아요,좋아요 크게 볼 건 없지만 런던에 왔다는 느낌과 행복감으로도 충분합니다. 사진 찍기에도 좋구요.
영국, 런던 타워,할인 티켓이 있다면 들러볼만한 곳,"2for티켓이 있어서 할인 받아 입장했는데, 정가로 입장하기엔 다소 좀 아쉬운 부분이 있었다. 초반에서 다이아 왕관이 있는 곳까지는 알찬 볼거리라 생각했는데, 그 이후에는 다소 억지로 관람을 위해 전시거리를 채워놓은 듯한 느낌을 받았다. 하지만 여기서 보는 타워브릿지는 정말 예뻤다. 시간이 없다면, 다이어 왕관까지만 유심히 보고 나머지는 대충 둘러보아도 괜찮을 것 같다"
영국, 런던 타워,중세시대를 느낄 수 있는 멋진 장소,외관부터 훌륭한 중세시대의 성 모습이 잘 보존되어 있습니다. 성벽을 따라 걸으며 중세시대 분위기를 느끼기에 좋습니다. 옆에 타워브릿지와 함께 있어 같이 구경하기에 좋습니다. 다만 볼거리 대비 입장료가 비싸다는 느낌이 듭니다.
영국, 런던 타워,솔직히 말해서 왜 가는지 잘 모르겠는 곳.,"런던에 갔으니 한 번 가봐야지, 해서 갔던 곳. 블러디 메리 등등 역사적 사실을 아는 사람들이 간다면야 좋겠지만 나처럼 영국이나 유럽 역사에 대해서 조금밖에 모르는 사람들에게는 굳이... 방문할 필요가 없을 장소. 말그대로 역사적 장소기 때문에 역사를 알아야 재밌는 곳이다."
영국, 런던 타워,입장료 비싸요,천천히 둘러보고 사진찍고 하기는 좋지만 입장료만큼의 가치가 있는지는 모르겠다. 그래도 가려면 오전에 가는 것이 좋을 듯. 관람하고 나와서 보니 사람들이 입장하려고 엄청나게 줄 서 있었다.
영국, 런던 타워,입구 찾기 어려움 / 런던 패스 사용 가능,입장 시 짐검사 함 / 사람 많음 비오는 날에는 가지마세요 그리고 지하 고문장이라고 하는 곳은 입구 밖에 세워져있는 그림이 전부입니다 롯데월드 신밧드의 모험에서 나오는 고문장이 더 무서움
영국, 런던 타워,한번쯤 가볼만 한 곳,한번쯤은 가볼만 합니다!! 런던 타워 옆에 타워 브릿지도 있어서 추천해요! 다만 입장료가 비싸서 입장료 내고 굳이 들어가보지 않아도 돼요!!저녁에 건너편에서 런던타워 야경으로 보는 것도 좋아요
영국, 런던 타워,영국 역사에 관심이 있다면 이곳으로!,사실 영국 배낭여행을 짧게 하기때문에 여행일수가 짧으면 추천하진 않지만 한번쯤은 역사적으로 되짚어보기에 좋은곳
영국, 런던 타워,그냥 그랬어요.,타워브리지 갔다가 들른건데 들어가고 싶게 생기지 않아서 겉만 봤어요. 가이드북에도 비추라고 나오더라구요. 멀리서 보는게 더 예쁘더라구요.
영국, 런던 타워,이름값에 비하면 볼게 많지 않았습니다,이름값에 비하면 볼게 많지 않았습니다. 관람 시간도 짧고 볼게 생각보다는 많지 않아서 아쉬웠습니다. 어린이를 동반한 여행객이라면 아이들 교육에는 좋을 것 같습니다
영국, 런던 타워,런던탑!,런던 브릿지 근처 들리면서 들리기 좋습니다! 어두울 때가서 라이트업된 야경만 봐서 아쉽네요. 런던브릿지를 가까이 들리실 예정이라면 한 번 들려보세요!
영국, 런던 타워,고정관념을 깨야하는 타워,런던 타워라고 해서 남산타워처럼 높은... 뭐 그런 장소를 생각했는데 전혀 다른 곳이랍니다 그래도 역쉬 유럽이기에 그냥 보기만해도좋더라구요
영국, 런던 타워,템즈강을 걷다보면...,빅벤에서 타워브릿지 쪽으로 걷다보면 만나게 되는 건축물이다. 안은 둘러보지 못했지만 걷으로도 충분히 멋있었다. 그러나 그 전에 유럽의 많은 성을 봤기에 나의 눈은 높아져있었다.
영국, 런던 타워,생각보다 웅장한 규모,"말로만 듣던 런던타워는 그냥 단독 건물인줄 알았는데 하나의 성채였다. 생각보다 규모가 컸으며, 깨끗하게 정돈되어 있다."
영국, 런던 타워,개인적으로는 그냥 그랬어요~,뭐 역사에 관심이 있거나 한 것이 아니어서... 그냥 보석관이 인상 깊고 나머진 딱히... 그래도 런던왔는 데 뭐라도 보실 거면 가보는 것도 ㅎ 아니라면 다른데를 가시길....
영국, 런던 타워,보통입니다.,겉으로 보는게 더 멋져요. 안에들어가면 뺑뺑돌아올라가야되고 힘들고..하지만 상점에는 살거 많아요.
영국, 런던 타워,밖에서 보는 게 훨씬 더 예쁨,내부에 볼만한 거라곤 왕실 보물인 왕관과 대관식에 쓰이는 물품들. 이 전시관만 사람들이 줄서서 보고 있다. 성벽길은 생각보다 임팩트 없어서 실망.
영국, 런던 타워,길고 약간의 갱신이 필요합니다,가장 지루한 박물관조차도 오디오 및 시각 효과로 모든 것을 흥미롭게 만들 수 있습니다. 그 해결책을 기다리고 있습니다. 더 나을 수 있습니다. 반면에 역사적으로 흥미로운 것들이 모두 있습니다.
영국, 런던 타워,환불하지 않고 폐쇄,그들은 100 % 이해하는 발발로 인해 폐쇄되었지만 티켓 환불 옵션을 제공하지 않았습니다. 대신 그들은 1 년 동안 그것을 존중하거나 돈을 지키겠다고 말했다. 외국에서 방문하려는 사람에게는 매우 실망했습니다.
영국, 런던 타워,방학에는 피하십시오,이 어트랙션을 어리석게 예약했지만 학교가 휴일에 있다는 것을 깨닫지 못했습니다. 어린 아이들과 유모차를 타고 약 1 시간 동안 매력을 느끼십시오. Crown Jewels의 대기열이 너무 길면 방학 이외의 시간에 다시 시도 할 것입니다. 완전히 우리의 잘못이며 조용한 시간에 다시 돌아갑니다.
영국, 런던 타워,휴일 주말,"여행은 너무 비싸고, 왕관 보석이있는 건물의 간판은 어둡고 문구가 너무 작고 잘못된 색상이며 너무 높았습니다. 해외 손님을 위해 일부 품목은 번역이 거의 없었지만 대부분 번역이 매우 열악했습니다."
영국, 런던 타워,역사적인 건물,이곳은 많은 역사로 가득 차있었습니다! 우리는 그곳에서 즐거운 시간을 보냈고 많은 골동품 아이템을 보았습니다.
